insee_reg,latitude,longitude
6,-12.8206134401,45.1474418557
4,-21.1332035811,55.5325090448
2,14.6548621716,-61.0193671014
32,49.9695194072,2.77137610595
27,47.2342823526,4.80685627211
76,43.702500282,2.1439233814
11,48.709316421,2.5034004356
1,16.197646337,-61.5397927924
84,45.5146421984,4.53612018004
75,45.2068339911,0.20759372173
93,43.9587694811,6.06100312967
24,47.4847754895,1.68439070404
3,3.92206489103,-53.2376576537
94,42.1515035186,9.10615501972
44,48.6889768145,5.6131132781
52,47.4781043297,-0.816787027355
53,48.1775506741,-2.84148954141
28,49.1200632772,0.110944602205
